File  .text     Size               Crate Name
0.0%   0.0%     116B                 std core::str::<impl str>::split_once
0.0%   0.0%     114B                 std alloc::raw_vec::finish_grow
0.0%   0.0%     114B                 std alloc::raw_vec::finish_grow
0.0%   0.0%     113B                 std core::cell::once::OnceCell<T>::try_init
0.0%   0.0%     111B                 std __rustc::rust_panic
0.0%   0.0%     109B                 std <[T] as core::fmt::Debug>::fmt
0.0%   0.0%     108B                 std core::ptr::drop_in_place<core::result::Result<addr2line::Context<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>,gimli::read::Err...
0.0%   0.0%     107B                 std std::io::impls::<impl std::io::Write for alloc::vec::Vec<u8,A>>::write
0.0%   0.0%     105B                 std core::ptr::drop_in_place<panic_unwind::imp::Exception>
0.0%   0.0%     103B                std? <std::io::default_write_fmt::Adapter<T> as core::fmt::Write>::write_str
0.0%   0.0%     103B                 std std::io::impls::<impl std::io::Write for alloc::vec::Vec<u8,A>>::write_all
0.0%   0.0%     103B                 std alloc::sync::Arc<T,A>::drop_slow
0.0%   0.0%     103B        clap_builder <alloc::string::String as core::fmt::Write>::write_str
0.0%   0.0%     103B                 std core::ptr::drop_in_place<core::result::Result<std::sync::poison::mutex::MutexGuard<()>,std::sync::poison::PoisonError<std::sync::poison::mutex::MutexGuar...
0.0%   0.0%     103B                 std core::slice::<impl [T]>::copy_from_slice::len_mismatch_fail::do_panic::runtime
0.0%   0.0%     103B                 std core::slice::index::slice_index_order_fail::do_panic::runtime
0.0%   0.0%     103B                 std core::slice::index::slice_end_index_len_fail::do_panic::runtime
0.0%   0.0%     103B                 std core::slice::index::slice_start_index_len_fail::do_panic::runtime
0.0%   0.0%     100B                 std <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<&T,core::slice::iter::Iter<T>>>::spec_extend
0.0%   0.0%     100B                 std core::ptr::drop_in_place<std::io::stdio::StdinLock>
0.0%   0.0%      99B                 std std::sys::backtrace::lock
0.0%   0.0%      99B                 std core::ptr::drop_in_place<core::result::Result<&core::result::Result<addr2line::function::Function<gimli::read::endian_slice::EndianSlice<gimli::endianity...
0.0%   0.0%      99B                 std core::ptr::drop_in_place<addr2line::function::LazyFunction<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>
0.0%   0.0%      98B                 std core::ptr::drop_in_place<addr2line::Context<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>
0.0%   0.0%      95B                 std <core::fmt::builders::PadAdapter as core::fmt::Write>::write_char
0.0%   0.0%      93B                 std __rustc::__rdl_alloc
0.0%   0.0%      92B                 std core::ptr::drop_in_place<alloc::sync::ArcInner<gimli::read::dwarf::Dwarf<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>>
0.0%   0.0%      92B                 std core::ptr::drop_in_place<gimli::read::dwarf::Dwarf<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>
0.0%   0.0%      92B                 std core::panicking::panic_bounds_check
0.0%   0.0%      91B                 std core::cell::once::OnceCell<T>::try_init
0.0%   0.0%      89B                 std std::sync::once_lock::OnceLock<T>::initialize
0.0%   0.0%      88B                 std <std::panicking::begin_panic_handler::FormatStringPayload as core::fmt::Display>::fmt
0.0%   0.0%      88B                 std std::sys::backtrace::BacktraceLock::print
0.0%   0.0%      86B                 std rustc_demangle::v0::Printer::skipping_printing
0.0%   0.0%      86B                 std gimli::read::unit::AttributeValue<R,Offset>::udata_value
0.0%   0.0%      86B                 std alloc::sync::Arc<T,A>::drop_slow
0.0%   0.0%      85B                 std rustc_demangle::try_demangle
0.0%   0.0%      84B                 std core::fmt::Formatter::pad_integral::write_prefix
0.0%   0.0%      84B                 std core::ptr::drop_in_place<std::io::buffered::bufwriter::BufWriter<W>::flush_buf::BufGuard>
0.0%   0.0%      83B                 std core::cell::panic_already_borrowed
0.0%   0.0%      82B                 std __rustc::__rust_panic_cleanup
0.0%   0.0%      80B                 std <std::sys::stdio::unix::Stderr as std::io::Write>::write
0.0%   0.0%      79B                 std rustc_demangle::v0::Parser::namespace
0.0%   0.0%      79B                 std <&[u8] as object::read::read_ref::ReadRef>::read_bytes_at_until
0.0%   0.0%      79B                 std <std::sys::stdio::unix::Stderr as std::io::Write>::write_vectored
0.0%   0.0%      78B                 std std::panicking::panic_count::increase
0.0%   0.0%      78B                 std alloc::sync::Arc<T,A>::drop_slow
0.0%   0.0%      76B                 std <std::panicking::begin_panic_handler::StaticStrPayload as core::panic::PanicPayload>::take_box
0.0%   0.0%      76B                std? <gimli::read::unit::AttributeValue<R,Offset> as core::clone::Clone>::clone
0.0%   0.0%      75B                 std core::slice::index::range
0.0%   0.0%      75B                 std core::ptr::drop_in_place<gimli::read::dwarf::Unit<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>,usize>>
0.0%   0.0%      75B                 std core::ptr::drop_in_place<addr2line::unit::SupUnit<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>>>
0.0%   0.0%      74B                 std std::rt::handle_rt_panic
0.0%   0.0%      73B                 std std::sync::poison::once::Once::call_once_force::{{closure}}
0.0%   0.0%      73B                 std core::ptr::drop_in_place<std::backtrace_rs::symbolize::gimli::Library>
0.0%   0.0%      73B                 std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.0%      71B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.0%      71B                 std alloc::raw_vec::RawVec<T,A>::grow_one
0.0%   0.0%      70B                 std alloc::raw_vec::RawVecInner<A>::deallocate
0.0%   0.0%      70B                 std std::backtrace_rs::backtrace::libunwind::trace::trace_fn
0.0%   0.0%      69B           criterion <core::num::error::ParseIntError as core::fmt::Debug>::fmt
0.0%   0.0%      69B                 std core::panicking::panic_nounwind_nobacktrace
0.0%   0.0%      69B                 std core::panicking::panic_nounwind_fmt
0.0%   0.0%      67B                 std <rustc_demangle::DemangleStyle as core::fmt::Display>::fmt
0.0%   0.0%      66B                 std alloc::alloc::exchange_malloc
0.0%   0.0%      66B                 std core::ptr::drop_in_place<std::backtrace_rs::backtrace::libunwind::Bomb>
0.0%   0.0%      66B                 std core::panicking::panic_nounwind
0.0%   0.0%      60B                 std <gimli::read::abbrev::Attributes as core::ops::deref::Deref>::deref
0.0%   0.0%      60B                 std core::panicking::panic
0.0%   0.0%      59B bloat_target_opencl bloat_target_opencl::main
0.0%   0.0%      59B                 std core::slice::sort::shared::smallsort::panic_on_ord_violation
0.0%   0.0%      59B                 std std::thread::ThreadId::new::exhausted
0.0%   0.0%      55B                 std core::fmt::Formatter::debug_list
0.0%   0.0%      55B                 std core::panicking::panic_const::panic_const_rem_by_zero
0.0%   0.0%      55B                 std core::panicking::panic_const::panic_const_div_by_zero
0.0%   0.0%      55B                 std core::slice::index::slice_end_index_overflow_fail
0.0%   0.0%      55B                 std alloc::raw_vec::capacity_overflow
0.0%   0.0%      53B                std? <std::path::StripPrefixError as core::fmt::Debug>::fmt
0.0%   0.0%      53B                 std core::ptr::drop_in_place<std::sync::reentrant_lock::ReentrantLockGuard<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::Stdo...
0.0%   0.0%      52B                 std core::fmt::builders::DebugList::finish
0.0%   0.0%      49B                 std alloc::boxed::Box<T,A>::new_uninit_in
0.0%   0.0%      49B                 std alloc::boxed::Box<T,A>::new_uninit_in
0.0%   0.0%      49B                 std alloc::raw_vec::RawVecInner<A>::reserve::do_reserve_and_handle
0.0%   0.0%      48B                 std core::panicking::assert_failed
0.0%   0.0%      48B                 std core::panicking::assert_failed
0.0%   0.0%      43B                 std rustc_demangle::v0::basic_type
0.0%   0.0%      43B                 std <&T as core::fmt::Debug>::fmt
0.0%   0.0%      39B           [Unknown] main
0.0%   0.0%      38B                 std <&T as core::fmt::Debug>::fmt
0.0%   0.0%      38B           [Unknown] _start
0.0%   0.0%      37B                 std <rustc_demangle::SizeLimitedFmtAdapter<F> as core::fmt::Write>::write_str
0.0%   0.0%      36B                 std <&T as core::fmt::Debug>::fmt
0.0%   0.0%      34B                 std <[A] as core::slice::cmp::SlicePartialEq<B>>::equal
0.0%   0.0%      33B                 std core::slice::sort::stable::drift::sqrt_approx
0.0%   0.0%      33B                 std std::alloc::rust_oom
0.0%   0.0%      32B                 std core::ptr::drop_in_place<std::panicking::begin_panic_handler::FormatStringPayload>
0.0%   0.0%      32B                 std core::panicking::panic_fmt
0.0%   0.0%      31B                 std <std::ffi::os_str::Display as core::fmt::Debug>::fmt
0.0%   0.0%      31B                 std core::ptr::drop_in_place<std::backtrace_rs::symbolize::gimli::elf::Object>
0.0%   0.0%      31B                 std core::ptr::drop_in_place<core::result::Result<core::option::Option<alloc::sync::Arc<std::sync::poison::mutex::Mutex<alloc::vec::Vec<u8>>>>,std::thread::l...
0.0%   0.0%      30B                 std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.0%      29B                 std __rustc::rust_begin_unwind
0.0%   0.0%      29B                 std core::ptr::drop_in_place<std::sync::poison::rwlock::RwLockReadGuard<std::panicking::Hook>>
0.0%   0.0%      29B                 std std::panicking::panic_count::is_zero_slow_path
0.0%   0.0%      27B                 std core::ops::function::Fn::call
0.0%   0.0%      26B                 std std::sys::backtrace::_print_fmt::{{closure}}
0.0%   0.0%      25B                 std std::sys::thread_local::native::eager::destroy
0.0%   0.0%      25B                 std core::option::unwrap_failed
0.0%   0.0%      24B                 std panic_unwind::imp::panic::exception_cleanup
0.0%   0.0%      24B                 std core::ptr::drop_in_place<std::ffi::os_str::OsString>
0.0%   0.0%      24B                 std core::ptr::drop_in_place<alloc::vec::Vec<u8>>
0.0%   0.0%      24B                 std core::ptr::drop_in_place<alloc::string::String>
0.0%   0.0%      23B                 std alloc::raw_vec::handle_error
0.0%   0.0%      21B                 std <core::cell::BorrowMutError as core::fmt::Display>::fmt
0.0%   0.0%      21B                std? <rustc_demangle::SizeLimitExhausted as core::fmt::Debug>::fmt
0.0%   0.0%      21B                 std <core::str::iter::Chars as core::iter::traits::iterator::Iterator>::count
0.0%   0.0%      21B        clap_builder <core::fmt::Error as core::fmt::Debug>::fmt
0.0%   0.0%      21B                 std <() as core::fmt::Debug>::fmt
0.0%   0.0%      21B                 std <&T as core::fmt::Debug>::fmt
0.0%   0.0%      21B                 std <T as core::any::Any>::type_id
0.0%   0.0%      21B                 std <T as core::any::Any>::type_id
0.0%   0.0%      20B        tinytemplate <alloc::string::String as core::fmt::Display>::fmt
0.0%   0.0%      20B                 std core::panicking::panic_in_cleanup
0.0%   0.0%      20B                 std core::panicking::panic_cannot_unwind
0.0%   0.0%      19B                 std <&T as core::fmt::Display>::fmt
0.0%   0.0%      19B                 std <&mut T as core::fmt::Debug>::fmt
0.0%   0.0%      19B                 std <&T as core::fmt::Debug>::fmt
0.0%   0.0%      19B                 std <std::panicking::begin_panic_handler::StaticStrPayload as core::fmt::Display>::fmt
0.0%   0.0%      19B                 std <&T as core::fmt::Display>::fmt
0.0%   0.0%      19B                 std core::slice::<impl [T]>::copy_from_slice::len_mismatch_fail
0.0%   0.0%      19B                 std alloc::alloc::handle_alloc_error
0.0%   0.0%      19B                 std __rustc::__rg_oom
0.0%   0.0%      18B                 std core::unicode::unicode_data::cc::lookup
0.0%   0.0%      18B                 std <str as core::fmt::Display>::fmt
0.0%   0.0%      18B                 std std::sys::args::unix::imp::ARGV_INIT_ARRAY::init_wrapper
0.0%   0.0%      17B                 std core::ptr::drop_in_place<std::io::default_write_fmt::Adapter<std::io::cursor::Cursor<&mut [u8]>>>
0.0%   0.0%      16B                 std <&T as core::fmt::Debug>::fmt
0.0%   0.0%      16B                 std <core::fmt::Formatter as core::fmt::Write>::write_char
0.0%   0.0%      16B                 std <core::fmt::Formatter as core::fmt::Write>::write_str
0.0%   0.0%      16B                 std <core::fmt::Arguments as core::fmt::Display>::fmt
0.0%   0.0%      16B                 std core::fmt::Write::write_fmt
0.0%   0.0%      16B                 std core::fmt::Write::write_fmt
0.0%   0.0%      16B                 std <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
0.0%   0.0%      16B                 std <&mut T as core::fmt::Display>::fmt
0.0%   0.0%      16B                 std core::ptr::drop_in_place<core::result::Result<&core::result::Result<core::option::Option<alloc::boxed::Box<addr2line::unit::DwoUnit<gimli::read::endian_s...
0.0%   0.0%      16B                 std core::ptr::drop_in_place<core::result::Result<&core::result::Result<addr2line::function::Functions<gimli::read::endian_slice::EndianSlice<gimli::endianit...
0.0%   0.0%      16B                 std core::ptr::drop_in_place<core::result::Result<&core::result::Result<addr2line::line::Lines,gimli::read::Error>,(&core::result::Result<addr2line::line::Li...
0.0%   0.0%      16B                 std core::fmt::Write::write_fmt
0.0%   0.0%      16B                 std core::fmt::Write::write_fmt
0.0%   0.0%      16B                 std core::fmt::Write::write_fmt
0.0%   0.0%      16B                 std core::fmt::Write::write_fmt
0.0%   0.0%      13B                 std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.0%      13B                 std std::rt::lang_start::{{closure}}
0.0%   0.0%      12B                 std std::sys::personality::gcc::find_eh_action::{{closure}}
0.0%   0.0%      12B                 std std::sys::personality::gcc::find_eh_action::{{closure}}
0.0%   0.0%      12B                 std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.0%      12B                 std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.0%      11B                std? <std::panicking::begin_panic_handler::StaticStrPayload as core::panic::PanicPayload>::get
0.0%   0.0%      11B                 std core::ptr::drop_in_place<core::result::Result<(),std::io::error::Error>>
0.0%   0.0%      10B                 std core::str::slice_error_fail
0.0%   0.0%      10B                 std core::slice::index::slice_index_order_fail
0.0%   0.0%      10B                 std core::slice::index::slice_end_index_len_fail
0.0%   0.0%      10B                 std core::slice::index::slice_start_index_len_fail
0.0%   0.0%      10B                 std std::sys::pal::unix::abort_internal
0.0%   0.0%       9B                 std <&T as core::fmt::Display>::fmt
0.0%   0.0%       9B                 std std::sys::backtrace::__rust_end_short_backtrace
0.0%   0.0%       9B                 std <*mut T as core::fmt::Debug>::fmt
0.0%   0.0%       9B                 std std::process::abort
0.0%   0.0%       8B                std? <std::panicking::begin_panic_handler::StaticStrPayload as core::panic::PanicPayload>::as_str
0.0%   0.0%       6B                 std __rustc::__rdl_dealloc
0.0%   0.0%       5B                 std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.0%       5B                 std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.0%       5B             __rustc __rustc::__rust_alloc_error_handler
0.0%   0.0%       5B             __rustc __rustc::__rust_alloc_zeroed
0.0%   0.0%       5B             __rustc __rustc::__rust_realloc
0.0%   0.0%       5B             __rustc __rustc::__rust_dealloc
0.0%   0.0%       5B             __rustc __rustc::__rust_alloc
0.0%   0.0%       5B                 std std::sys::backtrace::__rust_begin_short_backtrace
0.0%   0.0%       3B                 std <std::sys::stdio::unix::Stderr as std::io::Write>::flush
0.0%   0.0%       3B                 std <std::sys::stdio::unix::Stderr as std::io::Write>::is_write_vectored
0.0%   0.0%       3B                 std std::io::impls::<impl std::io::Write for alloc::vec::Vec<u8,A>>::flush
0.0%   0.0%       3B                 std std::io::impls::<impl std::io::Write for alloc::vec::Vec<u8,A>>::is_write_vectored
0.0%   0.0%       3B                 std core::panic::PanicPayload::as_str
0.0%   0.0%       2B                 std <alloc::collections::btree::mem::replace::PanicGuard as core::ops::drop::Drop>::drop
0.0%   0.0%       1B                 std <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
0.0%   0.0%       1B             __rustc __rustc::__rust_no_alloc_shim_is_unstable_v2
6.9% 100.0% 255.8KiB                     .text section size, the file size is 3.6MiB
